id,T,P,E,W,S,F,C
601,0,0,2,2,2,t,0
602,0,0,2,1,1,p,0
603,0,0,2,1,1,h,0
604,1,1,1,1,1,r,0
605,0,1,2,2,2,r,0
606,0,0,2,1,2,t,0
607,0,0,2,2,2,t,1
608,0,1,3,3,3,t,1
609,0,1,2,2,3,t,0
610,1,1,2,1,1,r,0
611,0,0,1,1,1,d,0
612,0,1,2,1,1,d,0
613,0,1,2,1,1,r,0
614,0,0,2,1,1,d,0
615,0,0,2,2,1,t,0
616,0,2,2,2,2,r,0
617,0,0,1,1,1,d,0
618,0,1,2,1,1,t,0
619,0,2,2,3,2,r,0
620,0,1,2,1,1,n,0
621,0,0,2,1,1,h,0
622,1,2,2,1,1,r,0
623,2,1,2,1,1,r,0
624,2,1,3,1,1,r,1
625,0,2,3,2,2,r,0
626,2,1,2,1,1,r,1
627,2,0,2,2,2,h,0
628,2,2,1,1,1,r,0
629,0,1,2,1,1,t,0
630,2,1,2,1,1,r,0
631,1,0,2,1,1,r,0
632,1,2,2,1,1,r,0
633,2,2,2,1,1,r,0
634,0,0,2,1,1,d,0
635,1,0,1,1,1,p,0
636,2,1,3,1,1,r,1
637,0,0,3,1,1,d,1
638,0,1,3,2,2,t,0
639,0,0,2,1,1,h,0
640,0,1,2,1,1,n,0
641,2,0,3,1,1,h,1
642,2,2,2,2,2,r,0
643,2,1,2,1,2,r,0
644,0,1,2,2,2,r,0
645,0,1,2,1,1,r,0
646,1,2,1,1,1,t,0
647,0,0,1,1,1,h,0
648,0,1,2,2,2,d,0
649,0,1,2,3,2,h,0
650,0,0,1,1,1,h,0
651,0,0,1,1,1,h,0
652,0,0,2,1,1,d,0
653,0,0,1,1,1,h,0
654,0,1,1,1,1,p,0
655,0,0,1,1,1,h,0
656,0,0,2,1,1,h,0
657,0,0,1,1,2,n,0
658,0,2,1,1,1,t,0
659,0,0,2,1,1,d,0
660,0,0,3,2,1,h,0
661,0,1,1,1,1,c,0
662,0,0,1,1,1,c,0
663,0,0,1,1,1,c,0
664,0,0,1,1,1,c,0
665,0,0,1,1,1,c,0
666,0,0,1,1,1,c,0
667,0,0,1,1,1,c,0
668,0,0,1,1,1,c,0
669,0,0,2,1,1,c,0
670,0,0,1,1,1,c,0
671,0,0,1,1,1,c,0
672,0,0,1,1,1,c,0
673,0,0,2,2,1,c,0
674,0,0,2,2,1,c,0
675,0,0,1,1,1,c,0
676,0,0,2,1,1,c,0
677,0,0,1,2,1,c,0
678,0,0,2,2,1,c,0
679,0,0,1,1,1,c,0
680,0,0,1,1,1,c,0
681,0,1,1,1,1,c,0
682,0,0,1,1,1,c,0
683,0,0,1,1,1,c,0
684,0,0,1,1,1,c,0
685,0,0,1,1,1,c,0
686,0,0,2,2,1,c,0
687,0,0,1,2,1,c,0
688,0,0,2,2,1,c,0
689,0,0,2,3,1,c,0
690,0,0,1,1,1,c,0
691,0,0,2,1,1,c,0
692,0,0,2,1,2,c,0
693,0,0,2,1,1,c,0
694,0,0,1,1,1,c,0
695,0,0,1,1,1,c,0
696,0,0,2,1,1,c,0
697,0,1,1,1,1,c,0
698,0,0,1,1,1,c,0
699,0,0,1,1,1,c,0
700,0,0,2,1,1,c,0
701,0,0,1,1,1,c,0
702,0,0,2,1,1,c,0
703,0,0,1,1,1,c,0
704,0,0,2,1,1,c,0
705,0,0,1,2,1,c,0
706,0,1,1,1,1,c,0
707,0,0,1,1,1,h,0
708,0,0,2,1,1,c,0
709,0,0,1,1,1,c,0
710,0,0,2,1,1,c,0
711,0,1,1,1,1,t,0
712,0,0,1,1,1,c,0
713,0,0,2,1,1,c,0
714,0,0,2,1,1,c,0
715,0,1,1,1,1,c,0
716,0,0,2,1,1,c,0
717,0,0,2,1,1,c,0
718,0,0,1,1,1,c,0
719,0,0,1,1,1,c,0
720,0,0,1,1,1,c,0
721,0,0,1,1,1,c,0
722,0,0,1,1,1,c,0
723,0,0,1,1,1,c,0
724,0,0,1,1,1,c,0
725,0,0,1,1,1,c,0
726,0,0,1,1,1,c,0
727,0,0,1,1,1,c,0
728,0,0,2,2,1,c,0
729,0,0,1,1,1,c,0
730,0,0,1,1,1,c,0
731,0,0,1,1,1,c,0
732,0,0,1,1,1,c,0
733,0,1,1,1,2,c,0
734,0,0,1,1,1,c,0
735,0,0,1,1,1,c,0
736,0,0,1,1,1,c,0
737,0,0,1,1,1,c,0
738,0,0,1,1,1,c,0
739,0,0,1,1,1,c,0
740,0,0,1,1,1,c,0
741,0,0,2,1,1,c,0
742,0,0,2,2,1,c,0
743,0,0,1,1,1,c,0
744,0,0,1,1,1,c,0
745,0,1,1,1,1,c,0
746,0,0,1,1,1,c,0
747,0,1,1,1,1,c,0
748,0,1,1,1,1,c,0
749,0,1,1,1,1,c,0
750,0,0,1,1,1,c,0
751,0,1,1,1,1,c,0
752,0,0,1,1,1,c,0
753,0,0,1,1,1,c,0
754,0,0,1,1,1,c,0
755,0,1,1,1,1,c,0
756,0,0,2,1,1,c,0
757,0,0,1,1,1,c,0
758,0,0,1,1,1,c,0
759,0,0,2,1,1,c,0
760,0,0,1,1,1,c,0
761,0,0,1,1,1,c,0
762,0,0,2,1,1,c,0
763,0,0,1,1,1,c,0
764,0,0,1,1,1,c,0
765,0,0,2,2,1,c,0
766,0,0,1,1,1,c,0
767,0,0,1,1,1,c,0
768,0,0,1,1,1,c,0
769,0,0,2,1,1,c,0
770,0,0,1,1,1,c,0
771,0,0,1,1,1,c,0
772,0,0,2,1,1,c,0
773,0,0,1,1,1,c,0
774,0,0,1,1,1,c,0
775,0,0,1,1,1,c,0
776,0,0,2,1,1,c,0
777,0,0,1,1,1,c,0
778,0,0,2,1,1,c,0
779,0,0,1,1,1,c,0
780,0,0,1,1,1,c,0
781,0,0,2,1,1,c,0
782,0,0,1,1,1,c,0
783,0,0,1,1,1,c,0
784,0,0,1,1,1,c,0
785,0,0,1,1,1,c,0
786,0,0,1,1,1,c,0
787,0,1,1,1,1,c,0
788,0,0,1,1,1,c,0
789,0,0,1,1,1,c,0
790,0,0,1,1,1,c,0
791,0,0,1,1,1,c,0
792,0,0,1,1,1,c,0
793,0,1,1,1,1,c,0
794,0,0,1,1,1,c,0
795,0,0,1,1,1,c,0
796,0,0,1,1,1,c,0
797,0,0,1,1,1,c,0
798,0,1,1,1,1,c,0
799,0,0,2,1,1,c,0
800,0,0,2,1,1,c,0
801,0,0,2,1,1,c,0
802,0,1,1,1,1,c,0
803,0,0,1,1,1,c,0
804,0,0,1,1,1,c,0
805,0,0,1,1,1,c,0
806,0,0,1,1,1,c,0
807,0,1,1,1,1,c,0
808,0,0,1,1,1,c,0
809,0,0,1,1,1,c,0
810,0,1,1,1,1,c,0
811,0,1,1,1,1,c,0
812,0,0,1,1,1,c,0
813,0,0,2,1,1,c,0
814,0,0,2,1,1,c,0
815,0,0,2,2,1,c,0
816,0,0,1,1,1,c,0
817,0,0,1,1,1,c,0
818,0,0,1,1,1,c,0
819,0,0,1,1,1,c,0
820,0,0,1,1,1,c,0
821,0,0,1,1,1,c,0
822,0,0,2,1,1,c,0
823,0,0,2,1,1,c,0
824,0,0,2,2,1,c,0
825,0,0,1,1,1,c,0
826,0,0,2,1,1,c,0
827,0,0,2,1,1,c,0
828,0,0,2,1,1,c,0
829,0,0,2,1,1,c,0
830,0,0,1,1,1,c,0
831,0,0,2,1,1,c,0
832,0,0,1,1,1,c,0
833,0,0,1,1,1,c,0
834,0,0,2,1,1,c,0
835,0,0,1,1,1,c,0
836,0,0,2,1,1,c,0
837,0,0,1,1,1,c,0
838,0,0,1,1,1,c,0
839,0,0,1,1,1,c,0
840,0,0,1,1,1,c,0
841,0,0,1,1,1,c,0
842,0,0,1,1,1,c,0
843,0,0,1,1,1,c,0
844,0,0,1,1,1,c,0
845,0,0,1,2,1,c,0
846,0,0,1,1,1,c,0
847,0,0,1,1,1,c,0
848,0,0,1,1,1,c,0
849,0,0,1,1,1,c,0
850,0,0,1,1,1,c,0
851,0,0,2,1,1,c,0
852,0,0,1,1,1,c,0
853,0,0,2,2,1,c,0
854,0,0,1,1,1,c,0
855,0,0,1,1,1,c,0
856,0,0,1,1,1,c,0
857,0,0,1,1,1,c,0
858,0,0,1,1,1,c,0
859,0,0,1,1,1,c,0
860,0,0,1,1,1,c,0
861,0,0,1,1,1,c,0
862,0,0,2,1,1,c,0
863,0,0,2,1,1,c,0
864,0,0,2,1,1,c,0
865,1,0,1,1,1,c,0
866,0,0,1,1,1,c,0
867,0,0,1,1,1,c,0
868,0,0,1,1,1,c,0
869,0,0,1,1,1,c,0
870,0,0,2,1,1,c,0
871,0,0,1,1,1,c,0
872,0,0,1,1,1,c,0
873,0,0,1,2,1,c,0
874,0,0,1,1,1,c,0
875,0,0,1,1,1,c,0
