id,T,P,E,W,S,F,C
301,1,1,1,1,1,r,0
302,0,0,1,1,1,h,0
303,0,1,1,1,1,r,0
304,0,0,1,1,1,c,0
305,0,0,1,1,1,p,0
306,1,1,1,1,1,r,0
307,0,1,1,1,1,p,0
308,0,0,1,1,1,t,0
309,0,1,1,1,1,p,0
310,0,0,1,1,1,p,0
311,0,1,1,1,1,t,0
312,0,0,1,1,1,t,0
313,0,0,1,1,1,t,0
314,0,1,1,1,1,c,0
315,0,2,1,1,1,t,0
316,0,1,1,1,1,n,0
317,0,1,1,1,1,p,0
318,0,1,1,1,1,p,0
319,0,0,1,1,1,c,0
320,0,1,1,2,2,p,0
321,0,1,1,1,1,p,0
322,0,0,1,1,1,p,0
323,0,0,1,1,1,p,0
324,1,0,1,1,1,p,0
325,0,2,1,1,1,p,0
326,0,2,1,1,1,p,0
327,0,1,1,1,1,p,0
328,0,2,1,1,1,p,0
329,0,0,2,1,1,h,0
330,0,0,1,1,1,h,0
331,0,2,1,1,2,t,0
332,2,1,1,1,1,r,0
333,2,2,1,1,1,r,0
334,2,1,1,1,1,r,0
335,2,2,2,1,1,r,1
336,2,2,1,2,2,r,0
337,2,0,1,1,1,o,0
338,2,2,2,1,1,r,0
339,0,0,1,1,1,h,0
340,0,0,1,1,1,h,0
341,0,0,1,1,2,t,0
342,0,0,1,1,1,c,0
343,0,0,2,1,2,t,0
344,2,2,1,1,1,r,0
345,1,1,1,2,2,r,0
346,1,0,1,1,1,t,1
347,2,2,2,2,2,r,1
348,2,0,2,1,2,d,1
349,0,2,2,3,3,r,0
350,0,2,1,1,1,r,0
351,0,2,3,2,2,r,1
352,0,1,2,1,2,p,0
353,2,0,1,1,1,o,0
354,2,0,2,1,2,o,1
355,2,2,1,2,2,r,0
356,2,2,1,1,1,r,0
357,0,1,1,2,1,r,0
358,2,2,2,2,2,r,1
359,1,0,2,1,1,t,0
360,2,0,2,1,1,t,1
361,2,0,2,1,1,r,0
362,2,2,2,1,1,r,1
363,0,2,2,3,2,r,1
364,1,1,2,2,2,r,0
365,2,1,1,2,2,r,0
366,0,0,1,2,1,t,0
367,2,2,2,2,3,o,0
368,1,0,1,1,1,t,0
369,2,2,2,2,2,r,1
370,2,0,1,1,1,r,0
371,1,0,1,1,1,t,1
372,1,0,2,2,2,d,1
373,2,2,1,1,1,p,0
374,2,1,1,2,2,r,0
375,2,1,1,1,1,r,0
376,2,2,2,2,2,r,0
377,2,2,1,1,1,r,1
378,0,0,2,1,1,h,0
379,0,1,1,3,3,r,0
380,0,0,2,2,1,h,0
381,0,0,1,1,2,r,0
382,0,0,2,3,3,r,0
383,0,0,3,2,3,h,0
384,0,1,2,2,2,t,0
385,0,0,3,3,3,t,0
386,1,2,1,3,3,o,0
387,0,0,3,1,1,d,0
388,0,0,2,3,3,t,0
389,0,0,1,1,1,t,0
390,0,0,1,1,1,t,0
391,0,0,1,2,2,t,0
392,0,0,1,1,1,t,0
393,0,0,1,1,1,c,0
394,0,0,1,1,1,t,0
395,0,0,1,2,2,t,0
396,0,2,1,3,3,r,0
397,0,0,1,1,1,t,0
398,0,0,1,1,1,t,0
399,0,2,2,3,3,r,0
400,0,1,2,2,2,t,0
401,0,2,1,2,2,r,0
402,0,0,1,1,1,p,0
403,0,2,2,3,3,r,0
404,0,0,2,2,2,t,0
405,1,0,1,2,2,t,0
406,0,0,1,2,2,t,0
407,0,0,2,2,2,t,0
408,0,0,3,1,1,h,0
409,0,0,2,1,1,t,0
410,0,1,2,1,1,t,0
411,0,0,1,1,1,c,0
412,0,0,1,1,1,t,0
413,0,0,1,1,1,t,0
414,0,0,1,1,1,c,0
415,0,0,1,1,1,t,0
416,0,0,1,1,1,d,0
417,1,2,1,1,1,r,0
418,0,0,1,1,1,t,0
419,0,1,1,1,1,t,0
420,0,0,1,1,1,t,0
421,0,0,1,1,1,t,0
422,0,0,1,1,2,t,0
423,2,1,1,1,1,r,1
424,0,0,1,1,1,p,0
425,2,1,2,1,1,r,0
426,2,1,1,1,1,r,0
427,2,1,1,1,1,r,0
428,1,0,1,1,1,o,0
429,1,1,1,1,1,t,1
430,2,2,1,1,2,r,0
431,2,1,2,1,1,r,0
432,2,0,1,1,1,c,0
433,2,2,1,1,1,r,0
434,1,1,2,1,1,r,1
435,2,2,2,1,1,r,1
436,0,1,1,1,1,r,0
437,0,2,2,1,1,r,1
438,0,2,1,1,1,r,0
439,0,1,1,1,1,p,0
440,0,2,2,1,1,t,0
441,0,1,1,1,1,t,0
442,0,2,1,1,1,t,0
443,0,1,1,1,1,t,0
444,0,2,1,1,1,t,0
445,0,2,1,1,1,t,0
446,0,0,1,1,1,t,0
447,0,0,1,1,1,c,0
448,0,2,1,1,1,t,0
449,0,0,1,1,1,t,0
450,0,2,1,1,1,t,0
451,0,2,2,3,3,r,0
452,0,2,1,1,1,t,0
453,0,2,3,2,2,r,0
454,0,0,2,1,1,c,0
455,0,1,1,1,1,t,0
456,0,2,1,1,1,t,0
457,0,1,1,1,1,t,0
458,0,1,1,1,1,t,0
459,1,0,1,1,1,t,0
460,0,0,1,1,1,c,0
461,0,0,1,1,1,t,0
462,1,1,1,1,1,o,0
463,0,0,1,1,1,t,0
464,0,2,1,1,1,p,0
465,0,2,1,1,1,t,0
466,0,2,1,1,1,t,0
467,0,2,1,1,1,c,0
468,0,2,2,1,1,t,0
469,0,2,1,1,1,t,0
470,0,2,1,1,1,t,0
471,0,2,1,1,1,t,0
472,0,2,1,1,1,r,0
473,0,0,2,1,1,c,0
474,0,0,1,1,1,t,0
475,0,0,1,1,1,t,0
476,0,1,1,1,2,t,0
477,0,0,2,1,1,d,0
478,0,2,2,3,3,r,0
479,0,0,2,1,1,d,0
480,0,0,2,2,2,h,0
481,1,2,1,1,1,t,0
482,0,0,1,1,1,t,0
483,0,2,1,1,1,r,0
484,0,0,2,1,1,t,0
485,0,2,2,3,3,r,0
486,0,0,1,1,1,t,0
487,0,0,1,1,1,p,0
488,0,0,1,1,1,t,0
489,0,1,2,1,1,t,1
490,0,1,1,1,2,t,0
491,2,0,1,1,1,o,0
492,2,2,2,1,1,r,0
493,0,1,1,1,1,n,0
494,0,0,2,2,2,h,0
495,0,0,1,1,1,c,0
496,0,0,2,1,1,c,0
497,0,0,1,1,1,d,0
498,0,0,1,1,1,t,0
499,0,0,1,1,1,c,0
500,0,0,1,1,1,t,0
501,0,0,1,1,1,t,0
502,0,1,2,2,2,r,0
503,0,0,1,1,1,t,0
504,0,0,1,1,1,t,0
505,0,0,1,1,1,t,0
506,0,2,2,3,3,t,0
507,0,2,2,3,3,t,0
508,0,2,2,2,2,r,0
509,0,1,2,3,3,t,0
510,0,0,1,1,1,t,0
511,0,0,1,1,1,t,0
512,0,2,2,2,2,r,0
513,0,2,2,3,3,r,0
514,1,2,2,2,3,n,0
515,1,1,1,1,1,n,0
516,1,0,1,2,2,n,0
517,0,2,2,1,2,t,0
518,2,0,1,1,1,o,0
519,0,0,2,1,1,o,0
520,0,0,2,2,2,t,0
521,0,0,3,1,1,d,1
522,0,1,2,2,2,t,0
523,0,0,3,2,2,t,0
524,0,2,2,3,3,n,0
525,2,0,1,1,1,o,0
526,2,2,2,2,2,r,0
527,1,0,1,1,1,n,0
528,2,2,1,1,1,o,0
529,0,2,2,1,1,r,0
530,2,2,1,2,2,r,0
531,2,0,1,1,1,o,0
532,0,1,2,2,2,o,0
533,2,1,1,1,1,n,0
534,0,1,2,2,2,r,0
535,1,0,1,1,1,n,0
536,2,2,1,1,1,r,0
537,0,0,1,1,1,n,0
538,0,2,2,3,3,r,0
539,0,0,2,1,1,n,0
540,0,2,2,3,3,r,0
541,0,2,2,2,2,r,1
542,0,1,2,1,1,t,0
543,0,2,1,1,2,n,0
544,0,0,3,1,1,d,0
545,0,1,2,2,2,o,0
546,0,0,2,1,1,d,0
547,0,1,2,3,3,t,0
548,0,1,2,3,3,t,0
549,0,0,2,2,2,h,0
550,0,0,2,3,3,t,0
551,0,0,2,1,2,t,0
552,0,0,2,2,2,r,0
553,0,1,2,1,1,d,0
554,0,0,3,1,1,d,0
555,0,0,1,1,1,c,0
556,0,0,2,1,1,c,0
557,0,1,1,1,1,t,0
558,0,1,1,1,1,c,0
559,0,0,2,1,2,t,0
560,0,1,1,1,1,d,0
561,0,0,1,1,1,d,0
562,0,1,1,1,1,t,0
563,0,0,1,1,1,c,0
564,0,2,1,1,2,t,0
565,0,0,2,1,1,p,0
